epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1898,1.39463,1.94956,0.80189,0.89431,0.92921,0.94173,0.67292,1.08479,1.17133,0.7743,0.00042,0.00042,0.00042
2,86.8848,1.28774,0.78223,0.7864,0.24021,0.83178,0.23326,0.15815,1.11209,12.0122,0.77523,0.000842972,0.000842972,0.000842972
3,123.473,1.29607,0.6639,0.77703,0.19113,0.92361,0.18824,0.12222,1.19905,19.5682,0.79011,0.00124852,0.00124852,0.00124852
4,147.113,1.41234,0.65307,0.7915,0.75251,0.92356,0.74578,0.44469,1.34807,1.37485,0.7895,0.00163664,0.00163664,0.00163664
5,151.312,1.41672,0.62952,0.79324,0.88342,0.95093,0.94858,0.60249,1.32829,0.76562,0.79444,0.0018416,0.0018416,0.0018416
6,155.494,1.33199,0.62671,0.78819,0.95813,0.95561,0.98096,0.6722,1.11267,0.58181,0.77523,0.001802,0.001802,0.001802
7,159.653,1.41052,0.60716,0.78244,0.98245,0.96729,0.98213,0.59264,1.40893,0.62653,0.79695,0.0017624,0.0017624,0.0017624
8,163.761,1.24547,0.54953,0.78291,0.96732,0.96835,0.9831,0.69429,1.05414,0.52045,0.76913,0.0017228,0.0017228,0.0017228
9,177.763,1.16008,0.52058,0.77465,0.99034,0.96262,0.99312,0.73445,1.0041,0.46919,0.77126,0.0016832,0.0016832,0.0016832
10,212.058,1.19112,0.49802,0.7698,0.98669,0.96028,0.9825,0.68468,1.06784,0.45468,0.77339,0.0016436,0.0016436,0.0016436
11,246.124,1.17806,0.48654,0.77405,0.97574,0.96262,0.99179,0.73976,0.91588,0.42036,0.76746,0.001604,0.001604,0.001604
12,280.615,1.10996,0.49824,0.7714,0.97173,0.96373,0.9921,0.76051,0.89652,0.45821,0.76706,0.0015644,0.0015644,0.0015644
13,314.637,1.05444,0.46898,0.76829,0.98608,0.96495,0.99308,0.74936,0.91077,0.41911,0.7701,0.0015248,0.0015248,0.0015248
14,348.66,1.07577,0.46749,0.7722,0.98382,0.96495,0.98392,0.75573,0.87226,0.42201,0.76428,0.0014852,0.0014852,0.0014852
15,382.151,1.00329,0.43622,0.77259,0.98282,0.95794,0.98359,0.77536,0.83881,0.39774,0.76624,0.0014456,0.0014456,0.0014456
16,393.371,1.04668,0.47046,0.76492,0.99834,0.95794,0.98418,0.7532,0.88525,0.42703,0.76887,0.001406,0.001406,0.001406
17,397.488,1.08557,0.45922,0.76316,0.9859,0.9803,0.9928,0.78274,0.81966,0.39693,0.76651,0.0013664,0.0013664,0.0013664
18,401.665,1.0065,0.44962,0.76992,0.99534,0.9743,0.98483,0.77885,0.82055,0.39487,0.76986,0.0013268,0.0013268,0.0013268
19,405.736,1.14239,0.4699,0.77187,0.99886,0.97664,0.99441,0.74042,0.91659,0.41192,0.76997,0.0012872,0.0012872,0.0012872
20,409.934,1.01391,0.44261,0.7653,0.99446,0.97196,0.99233,0.76647,0.88275,0.41533,0.76774,0.0012476,0.0012476,0.0012476
21,423.258,1.10701,0.46497,0.76049,0.98574,0.98131,0.99317,0.7786,0.83533,0.39772,0.76711,0.001208,0.001208,0.001208
22,457.759,1.02373,0.44626,0.76398,0.98163,0.9743,0.9835,0.77402,0.81772,0.3902,0.76764,0.0011684,0.0011684,0.0011684
23,491.646,0.9497,0.42724,0.77032,0.99524,0.97612,0.9844,0.78235,0.81545,0.40015,0.76924,0.0011288,0.0011288,0.0011288
24,525.7,0.9981,0.44186,0.76728,0.97511,0.98364,0.98362,0.76926,0.84131,0.40896,0.77204,0.0010892,0.0010892,0.0010892
25,559.385,0.97551,0.43201,0.76281,0.99161,0.98832,0.99481,0.7841,0.81301,0.39168,0.76902,0.0010496,0.0010496,0.0010496
26,593.609,0.9592,0.42888,0.7638,0.99059,0.98336,0.99431,0.79296,0.80723,0.37531,0.77163,0.00101,0.00101,0.00101
27,627.913,1.0103,0.43188,0.76554,0.96926,0.97664,0.99283,0.77717,0.8474,0.40183,0.7703,0.0009704,0.0009704,0.0009704
28,662.2,0.93264,0.42885,0.76469,0.97629,0.96209,0.98201,0.79809,0.77954,0.38334,0.76903,0.0009308,0.0009308,0.0009308
29,696.104,0.87618,0.40301,0.77146,0.98593,0.98202,0.99211,0.79166,0.77221,0.37044,0.76829,0.0008912,0.0008912,0.0008912
30,729.875,0.9457,0.42421,0.76505,0.99562,0.98364,0.99426,0.79694,0.77365,0.37393,0.76764,0.0008516,0.0008516,0.0008516
31,763.407,0.86952,0.4017,0.77324,0.9964,0.98832,0.99488,0.79646,0.77573,0.37287,0.76669,0.000812,0.000812,0.000812
32,797.611,0.95602,0.40808,0.75823,0.98797,0.98832,0.99479,0.79319,0.77186,0.37324,0.76555,0.0007724,0.0007724,0.0007724
33,831.846,0.90851,0.41151,0.75942,0.98833,0.98956,0.99472,0.81744,0.72499,0.35649,0.7675,0.0007328,0.0007328,0.0007328
34,865.644,0.86718,0.40143,0.77608,0.98994,0.98598,0.99451,0.79885,0.77094,0.36994,0.76758,0.0006932,0.0006932,0.0006932
35,899.389,0.92602,0.40389,0.76171,0.99062,0.98711,0.99481,0.79104,0.75873,0.36047,0.76665,0.0006536,0.0006536,0.0006536
36,933.109,0.90867,0.40315,0.76818,0.98599,0.98666,0.9947,0.79321,0.76572,0.36204,0.76601,0.000614,0.000614,0.000614
37,966.907,0.85304,0.38123,0.76685,0.98578,0.98832,0.9947,0.80096,0.75621,0.35095,0.76887,0.0005744,0.0005744,0.0005744
38,1001.07,0.90225,0.39092,0.76019,0.98831,0.98804,0.99479,0.81975,0.73432,0.34166,0.7693,0.0005348,0.0005348,0.0005348
39,1035.15,0.88954,0.38319,0.75859,0.9885,0.98598,0.99472,0.79512,0.77366,0.35932,0.7676,0.0004952,0.0004952,0.0004952
40,1068.96,0.82483,0.3791,0.7655,0.99061,0.98639,0.99459,0.80687,0.7486,0.35025,0.76819,0.0004556,0.0004556,0.0004556
41,1102.2,0.79701,0.37865,0.7755,0.98882,0.98364,0.99414,0.79556,0.7378,0.34907,0.76943,0.000416,0.000416,0.000416
42,1137.18,0.84373,0.3759,0.76946,0.99677,0.98131,0.9947,0.80011,0.74102,0.34983,0.76833,0.0003764,0.0003764,0.0003764
43,1170.85,0.823,0.37889,0.76855,0.9916,0.97897,0.99445,0.79665,0.73144,0.34827,0.76703,0.0003368,0.0003368,0.0003368
44,1204.11,0.80917,0.37359,0.76831,0.9927,0.98832,0.99463,0.80334,0.73706,0.34091,0.76793,0.0002972,0.0002972,0.0002972
45,1237.4,0.79366,0.37252,0.76306,0.99215,0.98832,0.99454,0.80145,0.7355,0.35155,0.76698,0.0002576,0.0002576,0.0002576
